"","Month_Year","Year","Month","Max_Value","Min_Value"
"1","Jan_2000",2000,"Jan",43.5,24.5
"2","Jan_2001",2001,"Jan",45,25.5
"3","Jan_2002",2002,"Jan",51.7,31.5
"4","Jan_2003",2003,"Jan",38.9,23.2
"5","Jan_2004",2004,"Jan",40.7,23.5
"6","Jan_2005",2005,"Jan",46.7,28.2
"7","Jan_2006",2006,"Jan",52.5,32.8
"8","Jan_2007",2007,"Jan",48.8,30.5
"9","Jan_2008",2008,"Jan",45.9,26
"10","Jan_2009",2009,"Jan",40.5,21.8
"11","Jan_2010",2010,"Jan",42.9,26.1
"12","Jan_2011",2011,"Jan",43,25.5
"13","Jan_2012",2012,"Jan",50.4,29.6
"14","Jan_2013",2013,"Jan",48.2,29.8
"15","Jan_2014",2014,"Jan",40.2,20.1
"16","Jan_2015",2015,"Jan",43.2,25.5
"17","Jan_2016",2016,"Jan",43.7,24.9
"18","Jan_2017",2017,"Jan",49.6,34.3
"19","Jan_2018",2018,"Jan",46.2,25.9
"20","Jan_2019",2019,"Jan",45.5,29.3
"21","Jan_2020",2020,"Jan",51.5,33.2
"22","Jan_2021",2021,"Jan",46.9,30.8
"23","Jan_2022",2022,"Jan",43.3,24.9
"24","Jan_2023",2023,"Jan",54.1,36.6
"27","Feb_2000",2000,"Feb",53.3,31.2
"28","Feb_2001",2001,"Feb",51.6,28.6
"29","Feb_2002",2002,"Feb",52.8,28.9
"30","Feb_2003",2003,"Feb",41.3,26.9
"31","Feb_2004",2004,"Feb",47.5,26
"32","Feb_2005",2005,"Feb",49.3,28.8
"33","Feb_2006",2006,"Feb",48.4,27.7
"34","Feb_2007",2007,"Feb",41.2,23
"35","Feb_2008",2008,"Feb",49.2,29.1
"36","Feb_2009",2009,"Feb",50.8,27.6
"37","Feb_2010",2010,"Feb",41.5,26.2
"38","Feb_2011",2011,"Feb",54.8,31.3
"39","Feb_2012",2012,"Feb",54,32.1
"40","Feb_2013",2013,"Feb",46.4,27.8
"41","Feb_2014",2014,"Feb",47,27.6
"42","Feb_2015",2015,"Feb",39.8,18.6
"43","Feb_2016",2016,"Feb",48.6,30.8
"44","Feb_2017",2017,"Feb",62.3,38.1
"45","Feb_2018",2018,"Feb",56,36.6
"46","Feb_2019",2019,"Feb",53.4,34.4
"47","Feb_2020",2020,"Feb",54.8,35.1
"48","Feb_2021",2021,"Feb",46.8,31.2
"49","Feb_2022",2022,"Feb",55.4,31.7
"50","Feb_2023",2023,"Feb",59.2,37.8
"53","Mar_2000",2000,"Mar",61.6,37.4
"54","Mar_2001",2001,"Mar",53.8,32.1
"55","Mar_2002",2002,"Mar",57.9,35
"56","Mar_2003",2003,"Mar",60.1,35.4
"57","Mar_2004",2004,"Mar",59.8,36.6
"58","Mar_2005",2005,"Mar",52.5,31.9
"59","Mar_2006",2006,"Mar",59.6,35.5
"60","Mar_2007",2007,"Mar",61.6,36.7
"61","Mar_2008",2008,"Mar",57.9,35.1
"62","Mar_2009",2009,"Mar",55.2,33.9
"63","Mar_2010",2010,"Mar",61.1,38.4
"64","Mar_2011",2011,"Mar",58.3,36.2
"65","Mar_2012",2012,"Mar",69.5,44.2
"66","Mar_2013",2013,"Mar",50.4,31.7
"67","Mar_2014",2014,"Mar",52.5,30
"68","Mar_2015",2015,"Mar",55.9,34.4
"69","Mar_2016",2016,"Mar",65.1,42.5
"70","Mar_2017",2017,"Mar",59.4,37.9
"71","Mar_2018",2018,"Mar",53,33.9
"72","Mar_2019",2019,"Mar",57,36.1
"73","Mar_2020",2020,"Mar",64.9,44.3
"74","Mar_2021",2021,"Mar",62.5,39.8
"75","Mar_2022",2022,"Mar",63.7,40.2
"76","Mar_2023",2023,"Mar",61.5,39.3
"79","Apr_2000",2000,"Apr",65.1,43.7
"80","Apr_2001",2001,"Apr",69.9,43.8
"81","Apr_2002",2002,"Apr",70.3,44.9
"82","Apr_2003",2003,"Apr",66.6,43.8
"83","Apr_2004",2004,"Apr",67.2,45.5
"84","Apr_2005",2005,"Apr",68,43.4
"85","Apr_2006",2006,"Apr",71.8,44.6
