Month_Year,Year,Month,Value
Jan_2000,2000,Jan,43.5
Jan_2001,2001,Jan,45.0
Jan_2002,2002,Jan,51.7
Jan_2003,2003,Jan,38.9
Jan_2004,2004,Jan,40.7
Jan_2005,2005,Jan,46.7
Jan_2006,2006,Jan,52.5
Jan_2007,2007,Jan,48.8
Jan_2008,2008,Jan,45.9
Jan_2009,2009,Jan,40.5
Jan_2010,2010,Jan,42.9
Jan_2011,2011,Jan,43.0
Jan_2012,2012,Jan,50.4
Jan_2013,2013,Jan,48.2
Jan_2014,2014,Jan,40.2
Jan_2015,2015,Jan,43.2
Jan_2016,2016,Jan,43.7
Jan_2017,2017,Jan,49.6
Jan_2018,2018,Jan,46.2
Jan_2019,2019,Jan,45.5
Jan_2020,2020,Jan,51.5
Jan_2021,2021,Jan,46.9
Jan_2022,2022,Jan,43.3
Jan_2023,2023,Jan,54.1
Jan_2024,2024,Jan,48.5
Jan_2025,2025,Jan,40.6
Feb_2000,2000,Feb,53.3
Feb_2001,2001,Feb,51.6
Feb_2002,2002,Feb,52.8
Feb_2003,2003,Feb,41.3
Feb_2004,2004,Feb,47.5
Feb_2005,2005,Feb,49.3
Feb_2006,2006,Feb,48.4
Feb_2007,2007,Feb,41.2
Feb_2008,2008,Feb,49.2
Feb_2009,2009,Feb,50.8
Feb_2010,2010,Feb,41.5
Feb_2011,2011,Feb,54.8
Feb_2012,2012,Feb,54.0
Feb_2013,2013,Feb,46.4
Feb_2014,2014,Feb,47.0
Feb_2015,2015,Feb,39.8
Feb_2016,2016,Feb,48.6
Feb_2017,2017,Feb,62.3
Feb_2018,2018,Feb,56.0
Feb_2019,2019,Feb,53.4
Feb_2020,2020,Feb,54.8
Feb_2021,2021,Feb,46.8
Feb_2022,2022,Feb,55.4
Feb_2023,2023,Feb,59.2
Feb_2024,2024,Feb,56.2
Feb_2025,2025,Feb,49.1
Mar_2000,2000,Mar,61.6
Mar_2001,2001,Mar,53.8
Mar_2002,2002,Mar,57.9
Mar_2003,2003,Mar,60.1
Mar_2004,2004,Mar,59.8
Mar_2005,2005,Mar,52.5
Mar_2006,2006,Mar,59.6
