Month_Year,Year,Month,Mean_Min_Temp
Jan 2000,2000,Jan,24.5
Jan 2001,2001,Jan,25.5
Jan 2002,2002,Jan,31.5
Jan 2003,2003,Jan,23.2
Jan 2004,2004,Jan,23.5
Jan 2005,2005,Jan,28.2
Jan 2006,2006,Jan,32.8
Jan 2007,2007,Jan,30.5
Jan 2008,2008,Jan,26.0
Jan 2009,2009,Jan,21.8
Jan 2010,2010,Jan,26.1
Jan 2011,2011,Jan,25.5
Jan 2012,2012,Jan,29.6
Jan 2013,2013,Jan,29.8
Jan 2014,2014,Jan,20.1
Jan 2015,2015,Jan,25.5
Jan 2016,2016,Jan,24.9
Jan 2017,2017,Jan,34.3
Jan 2018,2018,Jan,25.9
Jan 2019,2019,Jan,29.3
Jan 2020,2020,Jan,33.2
Jan 2021,2021,Jan,30.8
Jan 2022,2022,Jan,24.9
Jan 2023,2023,Jan,36.6
Jan 2024,2024,Jan,30.9
Jan 2025,2025,Jan,23.8
Feb 2000,2000,Feb,31.2
Feb 2001,2001,Feb,28.6
Feb 2002,2002,Feb,28.9
Feb 2003,2003,Feb,26.9
Feb 2004,2004,Feb,26.0
Feb 2005,2005,Feb,28.8
Feb 2006,2006,Feb,27.7
Feb 2007,2007,Feb,23.0
Feb 2008,2008,Feb,29.1
Feb 2009,2009,Feb,27.6
Feb 2010,2010,Feb,26.2
Feb 2011,2011,Feb,31.3
Feb 2012,2012,Feb,32.1
Feb 2013,2013,Feb,27.8
Feb 2014,2014,Feb,27.6
Feb 2015,2015,Feb,18.6
Feb 2016,2016,Feb,30.8
Feb 2017,2017,Feb,38.1
Feb 2018,2018,Feb,36.6
Feb 2019,2019,Feb,34.4
Feb 2020,2020,Feb,35.1
Feb 2021,2021,Feb,31.2
Feb 2022,2022,Feb,31.7
Feb 2023,2023,Feb,37.8
Feb 2024,2024,Feb,34.5
Feb 2025,2025,Feb,29.9
Mar 2000,2000,Mar,37.4
Mar 2001,2001,Mar,32.1
Mar 2002,2002,Mar,35.0
Mar 2003,2003,Mar,35.4
Mar 2004,2004,Mar,36.6
Mar 2005,2005,Mar,31.9
Mar 2006,2006,Mar,35.5
Mar 2007,2007,Mar,36.7
Mar 2008,2008,Mar,35.1
Mar 2009,2009,Mar,33.9
Mar 2010,2010,Mar,38.4
Mar 2011,2011,Mar,36.2
Mar 2012,2012,Mar,44.2
Mar 2013,2013,Mar,31.7
Mar 2014,2014,Mar,30.0
Mar 2015,2015,Mar,34.4
Mar 2016,2016,Mar,42.5
Mar 2017,2017,Mar,37.9
Mar 2018,2018,Mar,33.9
Mar 2019,2019,Mar,36.1
Mar 2020,2020,Mar,44.3
Mar 2021,2021,Mar,39.8
Mar 2022,2022,Mar,40.2
Mar 2023,2023,Mar,39.3
Mar 2024,2024,Mar,42.8
Mar 2025,2025,Mar,39.5
Apr 2000,2000,Apr,43.7
Apr 2001,2001,Apr,43.8
Apr 2002,2002,Apr,44.9
Apr 2003,2003,Apr,43.8
Apr 2004,2004,Apr,45.5
Apr 2005,2005,Apr,43.4
Apr 2006,2006,Apr,44.6
Apr 2007,2007,Apr,42.3
Apr 2008,2008,Apr,44.7
Apr 2009,2009,Apr,42.7
Apr 2010,2010,Apr,45.3
Apr 2011,2011,Apr,48.2
Apr 2012,2012,Apr,44.9
Apr 2013,2013,Apr,46.2
Apr 2014,2014,Apr,43.7
Apr 2015,2015,Apr,45.2
Apr 2016,2016,Apr,44.9
Apr 2017,2017,Apr,52.4
Apr 2018,2018,Apr,43.0
Apr 2019,2019,Apr,49.1
Apr 2020,2020,Apr,44.7
Apr 2021,2021,Apr,46.0
Apr 2022,2022,Apr,45.1
Apr 2023,2023,Apr,47.7
Apr 2024,2024,Apr,51.4
Apr 2025,2025,Apr,48.2
May 2000,2000,May,53.4
May 2001,2001,May,50.7
May 2002,2002,May,49.3
May 2003,2003,May,53.0
May 2004,2004,May,58.3
May 2005,2005,May,48.4
May 2006,2006,May,49.9
May 2007,2007,May,52.3
May 2008,2008,May,48.7
May 2009,2009,May,52.5
May 2010,2010,May,56.6
May 2011,2011,May,57.0
May 2012,2012,May,62.0
May 2013,2013,May,52.4
May 2014,2014,May,54.7
May 2015,2015,May,57.3
May 2016,2016,May,54.8
May 2017,2017,May,55.4
May 2018,2018,May,61.8
May 2019,2019,May,60.9
